Name,BSE_code,NSE_code,Industry,Current_Price,Market_Capitalization
Salora Intl.,500370,,Trading, 62 , 55 
Morarjee Text.,532621,MORARJEE,Textiles - Products, 15 , 55 
Sandu Pharma.,524703,,Pharmaceuticals - Indian - Formulations, 57 , 55 
ASL Industries,,ASLIND,Auto Ancillaries, 53 , 55 
Siel Fin. Serv.,532217,,Finance & Investments, 49 , 55 
Ankit Met.Power,532870,ANKITMETAL,Steel - Medium / Small, 4 , 55 
M M Rubber,509196,,Miscellaneous, 89 , 56 
Meera Industries,540519,,Textile Machinery, 52 , 56 
Uma Converter,,UMA,Packaging, 28 , 56 
Siti Networks,532795,SITINET,Entertainment / Electronic Media Software, 1 , 56 
Sulabh Engineers,508969,,Finance & Investments, 6 , 56 
Unique Organics,530997,,Trading, 94 , 56 
Grovy India,539522,,Construction, 168 , 56 
Atal Realtech,543911,ATALREAL,Construction, 8 , 56 
Vandana Knitwear,532090,,Trading, 5 , 56 
Akash InfraProj.,,AKASH,Construction, 33 , 56 
Nimbus Projects,511714,,Construction, 52 , 56 
Shelter Pharma,543963,,Pharmaceuticals - Indian - Bulk Drugs, 49 , 56 
Prismx Global,501314,,Trading, 1 , 57 
N G Industries,530897,,Healthcare, 169 , 57 
Perfect Infraeng,,PERFECT,Electric Equipment, 32 , 57 
AD Manum Finance,511359,,Finance & Investments, 76 , 57 
PBM Polytex,514087,,Textiles - Cotton/Blended, 83 , 57 
Khoobsurat Ltd,535730,,Finance & Investments, 1 , 57 
Prospect Commod.,543814,,Trading, 139 , 57 
Lee & Nee Soft.,517415,,Computers - Software - Medium / Small, 10 , 57 
Arvind & Company,,ACSAL,Shipping, 47 , 57 
Ecoboard Inds.,523732,,Miscellaneous, 32 , 57 
Julien Agro,536073,,Trading, 29 , 57 
Inani Marbles,531129,,Miscellaneous, 31 , 57 
MSR India,508922,,Mining / Minerals / Metals, 9 , 57 
P. H. Capital,500143,,Finance & Investments, 191 , 57 
SP Refractories,,SPRL,Refractories / Intermediates, 321 , 57 
Bhaskar Agrochem,524534,,Pesticides / Agrochemicals - Indian, 110 , 57 
Naapbooks,543351,,Computers - Software - Medium / Small, 64 , 57 
Bhatia Colour,543497,,Chemicals, 47 , 58 
ARCL Organics,543993,,Chemicals, 72 , 58 
Axel Polymers,513642,,Plastics Products, 68 , 58 
GACM Tech,531723,GATECH,Finance & Investments, 1 , 58 
Regency Fincorp,540175,,Finance & Investments, 15 , 58 
Tapi Fruit,,TAPIFRUIT,Food - Processing - Indian, 139 , 58 
Satchmo Holdings,533202,,Construction, 4 , 58 
Inter Globe Fin,511391,,Finance & Investments, 85 , 58 
Salem Erode Inv.,540181,,Finance & Investments, 51 , 58 
Warren Tea,508494,,Tea, 49 , 58 
Ashnisha Indus.,541702,,Trading, 6 , 59 
GTN Industries,500170,,Textiles - Cotton/Blended, 33 , 59 
Pioneer Invest,507864,,Finance & Investments, 48 , 59 
Goblin India,542850,,Trading, 42 , 59 
Diligent Media,540789,DNAMEDIA,Entertainment / Electronic Media Software, 5 , 59 
Ashirwad Steels,526847,,Finance & Investments, 47 , 59 
Gorani Industrie,531608,,Domestic Appliances, 110 , 59 
Thakral Services,509015,,Electronics - Components, 50 , 59 
A R C Finance,540135,,Finance & Investments, 1 , 59 
Galactico Corpo.,542802,,Finance & Investments, 4 , 59 
